"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar productos al carro de compras","Agregar 2 productos al carro de compras","ERROR","2024-10-25T15:56:17.4232063-05:00[America/Bogota]","0.0","0.61"
"Agregar productos al carro de compras","Agregar un productos al carro de compras","SUCCESS","2024-10-25T20:41:33.0988207-05:00[America/Bogota]","0.0","55.19"
